FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2
24FEB2021,41 a 50,F,Sputnik,Privado,214,65
24FEB2021,41 a 50,F,Sputnik,Publico,441,170
24FEB2021,41 a 50,F,Sputnik,Publico nacional,7,18
24FEB2021,41 a 50,M,Covishield,Privado,2,0
24FEB2021,41 a 50,M,Covishield,Publico,4,0
24FEB2021,41 a 50,M,Sputnik,Privado,121,18
24FEB2021,41 a 50,M,Sputnik,Publico,194,82
24FEB2021,41 a 50,M,Sputnik,Publico nacional,5,6
24FEB2021,51 a 60,F,Covishield,Privado,1,0
24FEB2021,51 a 60,F,Covishield,Publico,6,0
24FEB2021,51 a 60,F,Sputnik,Privado,119,23
24FEB2021,51 a 60,F,Sputnik,Publico,356,194
24FEB2021,51 a 60,F,Sputnik,Publico nacional,5,13
24FEB2021,51 a 60,M,Covishield,Privado,1,0
24FEB2021,51 a 60,M,Covishield,Publico,4,0
24FEB2021,51 a 60,M,Sputnik,Privado,63,13
24FEB2021,51 a 60,M,Sputnik,Publico,131,90
24FEB2021,51 a 60,M,Sputnik,Publico nacional,1,11
24FEB2021,61 a 70,F,Covishield,Privado,2,0
24FEB2021,61 a 70,F,Covishield,Publico,26,0
24FEB2021,61 a 70,F,Sputnik,Privado,36,9
24FEB2021,61 a 70,F,Sputnik,Publico,178,229
24FEB2021,61 a 70,F,Sputnik,Publico nacional,2,14
24FEB2021,61 a 70,M,Covishield,Publico,33,0
24FEB2021,61 a 70,M,Sputnik,Privado,32,12
24FEB2021,61 a 70,M,Sputnik,Publico,94,197
24FEB2021,61 a 70,M,Sputnik,Publico nacional,3,6
24FEB2021,71 a 80,F,Covishield,Privado,66,0
24FEB2021,71 a 80,F,Covishield,Publico,418,0
24FEB2021,71 a 80,F,Sputnik,Privado,6,0
24FEB2021,71 a 80,F,Sputnik,Publico,71,24
24FEB2021,71 a 80,F,Sputnik,Publico nacional,1,0
24FEB2021,71 a 80,M,Covishield,Privado,44,0
24FEB2021,71 a 80,M,Covishield,Publico,233,0
24FEB2021,71 a 80,M,Sputnik,Privado,14,3
24FEB2021,71 a 80,M,Sputnik,Publico,49,28
24FEB2021,71 a 80,M,Sputnik,Publico nacional,1,0
24FEB2021,81 a 90,F,Covishield,Privado,186,0
24FEB2021,81 a 90,F,Covishield,Publico,2450,0
24FEB2021,81 a 90,F,Sputnik,Publico,3,2
24FEB2021,81 a 90,M,Covishield,Privado,135,0
24FEB2021,81 a 90,M,Covishield,Publico,1317,0
24FEB2021,81 a 90,M,Sputnik,Privado,2,1
24FEB2021,81 a 90,M,Sputnik,Publico,10,2
24FEB2021,91 o mas,F,Covishield,Privado,20,0
24FEB2021,91 o mas,F,Covishield,Publico,483,0
24FEB2021,91 o mas,F,Sputnik,Publico,1,0
24FEB2021,91 o mas,M,Covishield,Privado,11,0
24FEB2021,91 o mas,M,Covishield,Publico,152,0
24FEB2021,91 o mas,M,Sputnik,Publico,1,0
25FEB2021,30 o menos,F,Covishield,Privado,1,0
25FEB2021,30 o menos,F,Covishield,Publico,17,0
25FEB2021,30 o menos,F,Sputnik,Privado,141,14
25FEB2021,30 o menos,F,Sputnik,Publico,217,103
25FEB2021,30 o menos,F,Sputnik,Publico nacional,3,15
25FEB2021,30 o menos,M,Covishield,Publico,7,0
25FEB2021,30 o menos,M,Sputnik,Privado,61,6
25FEB2021,30 o menos,M,Sputnik,Publico,115,31
25FEB2021,30 o menos,M,Sputnik,Publico nacional,1,2
25FEB2021,31 a 40,F,Covishield,Privado,1,0
25FEB2021,31 a 40,F,Covishield,Publico,17,0
25FEB2021,31 a 40,F,Sputnik,Privado,337,25
25FEB2021,31 a 40,F,Sputnik,Publico,438,224
25FEB2021,31 a 40,F,Sputnik,Publico nacional,5,25
25FEB2021,31 a 40,M,Covishield,Privado,1,0
25FEB2021,31 a 40,M,Covishield,Publico,8,0
25FEB2021,31 a 40,M,Covishield,Publico nacional,1,0
25FEB2021,31 a 40,M,Sputnik,Privado,167,20
25FEB2021,31 a 40,M,Sputnik,Publico,228,76
25FEB2021,31 a 40,M,Sputnik,Publico nacional,8,5
25FEB2021,41 a 50,F,Covishield,Privado,1,0
25FEB2021,41 a 50,F,Covishield,Publico,22,0
25FEB2021,41 a 50,F,Sputnik,Privado,228,14
25FEB2021,41 a 50,F,Sputnik,Publico,348,239
25FEB2021,41 a 50,F,Sputnik,Publico nacional,11,13
25FEB2021,41 a 50,M,Covishield,Privado,1,0
25FEB2021,41 a 50,M,Covishield,Publico,11,0
25FEB2021,41 a 50,M,Sputnik,Privado,142,11
25FEB2021,41 a 50,M,Sputnik,Publico,198,105
25FEB2021,41 a 50,M,Sputnik,Publico nacional,8,9
25FEB2021,51 a 60,F,Covishield,Publico,12,0
25FEB2021,51 a 60,F,Sputnik,Privado,147,13
25FEB2021,51 a 60,F,Sputnik,Publico,327,240
25FEB2021,51 a 60,F,Sputnik,Publico nacional,27,18
25FEB2021,51 a 60,M,Covishield,Publico,6,0
25FEB2021,51 a 60,M,Sputnik,Privado,72,12
25FEB2021,51 a 60,M,Sputnik,Publico,160,93
25FEB2021,51 a 60,M,Sputnik,Publico nacional,15,6
25FEB2021,61 a 70,F,Covishield,Publico,5,0
25FEB2021,61 a 70,F,Sputnik,Privado,44,3
25FEB2021,61 a 70,F,Sputnik,Publico,183,240
25FEB2021,61 a 70,F,Sputnik,Publico nacional,3,8
25FEB2021,61 a 70,M,Covishield,Publico,6,0
25FEB2021,61 a 70,M,Sputnik,Privado,37,4
25FEB2021,61 a 70,M,Sputnik,Publico,125,154
25FEB2021,61 a 70,M,Sputnik,Publico nacional,7,8
25FEB2021,71 a 80,F,Covishield,Privado,53,0
25FEB2021,71 a 80,F,Covishield,Publico,413,0
25FEB2021,71 a 80,F,Sputnik,Privado,6,0
25FEB2021,71 a 80,F,Sputnik,Publico,31,31
25FEB2021,71 a 80,M,Covishield,Privado,31,0
25FEB2021,71 a 80,M,Covishield,Publico,230,0
25FEB2021,71 a 80,M,Sputnik,Privado,1,0
25FEB2021,71 a 80,M,Sputnik,Publico,23,34
25FEB2021,71 a 80,M,Sputnik,Publico nacional,4,0
25FEB2021,81 a 90,F,Covishield,Privado,211,0
25FEB2021,81 a 90,F,Covishield,Publico,2332,0
25FEB2021,81 a 90,F,Sputnik,Publico,5,3
25FEB2021,81 a 90,M,Covishield,Privado,139,0
25FEB2021,81 a 90,M,Covishield,Publico,1321,0
